问题,关键字,相似问,答案
快手各职场中/英文地址,"职场英文,英文地址,职场地址,办公地址",深圳职场地址|快手属于哪个街道|广州职场地址|北京办公地址|万家灯火英文名字|快手的英文地址和主体信息 在哪里查询呢|你好，请问有铜仁公司的地址吗|深圳工区地址|快手各职场英文地址|请问杭州职场地址是哪里呢,"<font color=""orange"">**亲爱的同学好~**</font>
各职场的英文地址信息可以查看该文档：[快手职场规范名称（中/英）](https://docs.corp.kuaishou.com/s/home/fcACnNNiMtemTlF7Ug-X-BE1w#section=1537500939)；
如有其他问题，可以联系 [行政小当家](https://xzznkf.corp.kuaishou.com/chat/pc/v2/index.html?sysnum=ebfa68a5360049389ae3d15f176e38e0&channelid=1&channelflag=1&groupid=fe2186a9a2e241b6bf7ce8882022323d&ticket=ST-3519332-1zGLpuUtALDhNvXd32rc5NYo8i4-ksssogray) 反馈咨询。"
如何开通企业微信账号,企业微信,请问如何申请企业微信号|邀请我加入快手企业微信可以吗|请问一下企业微信如何申请呀|认证企业微信为快手科技|申请企业微信权限|加入企业微信|申请企业微信账户|申请企业微信账号|如何申请企业微信|请问如何申请企微,"<font color=""orange"">**亲爱的同学好~**</font>
请线上提交 [企业微信权限申请](https://docs.corp.kuaishou.com/d/home/fcADDBEQptYJjiDKtz6FViaUu#section=h.t5cimebrrroi)，审批结束后，将会认证该账号为「快手科技」企业下的企微账号；
关于企业微信的相关问题可以参考此文档 [企微高频问题 FAQ](https://kim-message.corp.kuaishou.com/message/102004)；
如果无法解决您的问题，可以参考此文档 [企业微信 FAQ](https://docs.corp.kuaishou.com/d/home/fcADDBEQptYJjiDKtz6FViaUu#section=h.j1bb67qzopjc)。
\
**Kimi 温馨提示**：
该流程申请开通的企微主体为「快手科技」。"
电脑回收站的文件删除后能找回吗,,mac废纸篓里的文件删除了还能恢复吗,"<font color=""orange"">**亲爱的同学好~**</font>
实在抱歉，目前回收站的文件删除后不支持找回。"
元中心的职场地址,元中心地址,公司的快递地址是什么|元中心快递地址,"<font color=""orange"">**亲爱的同学好~**</font>
职场地址：北京市海淀区西二旗中路29号元中心
美团外卖柜位置：元中心T2-B1、元中心T3-1F（北大堂）、元中心T10-1F（东大堂）
丰巢快递柜位置：元中心T2-B1"
Keep链接,,keep的链接,"<font color=""orange"">**亲爱的同学好~**</font>

Keep链接：[https://keep.corp.kuaishou.com/#/center](https://keep.corp.kuaishou.com/#/center)"
如何将某个日程显示为可被预约,,如何把不参加的会议在日历中设置为虚线,"<font color=""orange"">**亲爱的同学好~**</font>
如果某个日程、会议不需要参加，并且希望告知别人此期间可以被预约，只需要在日程设置界面按照下图进行操作即可：
![2.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/322e706e671699354416518.png)
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671699354421896.png)"
proto 编译失败，tried to write the same file twice. 是什么,,proto 编译失败，tried to write the same file twice. 是什么,"**问题示例：**
![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671637202342163.png)
**问题原因：**
java 类名重复了，修改后就可以编过了
**解决方案：**
![2.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/322e706e671637202444879.png)"
如何撤销加班日志,,加班流程及加班日志已审批通过，想要撤销加班如何操作,"<font color=""orange"">**亲爱的同学好~**</font>

**加班日志审批通过之后不可撤销**，若实际情况确需撤销此次加班，需**邮件发送至jiaban@kuaishou.com，抄送leader申请**
"
为什么计划创建成功后投不出去,,为什么粉条投不出去|投放计划有问题如何自查|为什么退款率高|为什么计划无消耗,"<font color=""orange"">**亲爱的同学好~**</font>
订单无法完全消耗是正常现象（投放结束后有退款），内粉大盘流量有限，大家投放需求集中或有重大活动时，会出现较为严重的供需不平衡情况，这时消耗率会偏低，大多数情况消耗率在30%～90%，如果遇到极端低的情况，建议按一下步骤排查：
1.查看计划设置是否有误：包括投放时间、筛选条件、停投条件、终止条件、人群包/定向等；
2.如计划设置无误，检查预算是否充足、作者/作品是否有负向、作者为社区审核灰黑作者等；
**同时辅助使用【粉条诊断】可从计划&订单维度进行诊断，查看诊断结果以及改进建议，地址：[https://flow.corp.kuaishou.com/#/flow/auto/diagnose/video](https://flow.corp.kuaishou.com/#/flow/auto/diagnose/video)**
具体可查询[FAQ文档](https://docs.corp.kuaishou.com/d/home/fcADq4arWXM06Xww3MylbHEA0)中 **计划/作品问题排查流程3步走**。"
公司品牌形象相关反馈,"品牌形象,媒体沟通",公众、媒体沟通,"<font color=""orange"">**亲爱的同学好~**</font>
公众、媒体沟通；公司品牌形象相关反馈 ，可以Kim联系<@=username(prxiaomishu)=>咨询。"
请问该如何报销,"报销,差旅,团建,交通,打车,高铁",报销流程|餐补报销|费用报销|辛苦问下报销流程在哪里找哈~|请问怎么报销呢？|自采vpn 报销|报销交单|机票报销|交通费用报销|报销,"<font color=""orange"">**亲爱的同学好~**</font>
如您有交通、团建、差旅等费用报销问题，请按照以下路径联系财务人工同学咨询：
Kim - 搜索「FSSC财务共享中心咨询」应用号反馈咨询。"
docs表格如何缩放页面的大小,"缩放页面,页面缩小,页面放大,表格缩小,表格放大",老铁在线文档不能放大怎么办|表格页面如何放大缩小|在线表格怎么缩放页面的大小|表格怎么缩放页面的大小|doc表格怎么缩放页面的大小,"<font color=""orange"">**亲爱的同学好~**</font>
目前阅读和评论权限的同学可以在页面右下角点击‘’+‘’‘’-‘’号进行调整哦~"
Kim 群管理员可以修改其他群成员身份吗,,你好，在KIM群聊里，管理员可以卸掉其他人的管理员吗|群管理员能卸任其他管理员吗,"<font color=""orange"">**亲爱的同学好~**</font>
目前 Kim 仅支持群主修改其他群成员、群管理员的身份。"
电签系统输入短信验证码失效,"验证码失效,电签验证码失效",电签验证码失效,"<font color=""orange"">**亲爱的同学好~**</font>
是身份信息不一致导致，请确保 【姓名、身份证、手机号】信息一致。
"
商家等级会限制销售单量吗,"销售单量,商家等级,限制单量",商家等级限制了销售单量,"<font color=""orange"">**亲爱的同学好~**</font>
商家等级不会限制销售单量，只是达到单量后会触发监控。如监控有后发现异常（比如出现非正常下单/劣质商品等），会进行处罚。"
涉及公司的采访、访谈、咨询需要报备吗,"采访报备,访谈报备,咨询报备",要参加访谈，怎么报备|要参加采访，怎么报备,"<font color=""orange"">**亲爱的同学好~**</font>
* 以公司名义：授权代表公司参加公共活动时，如需发言，无论是否有偿，发言内容/ppt内容需经一级部门负责人以及公共关系部门审批，邮件发送一级部门负责人、PR(zhangsijia@kuaishou.com)，抄送PRBP邮箱(prbp@kuaishou.com)，
* 以个人名义：参加并发表无关公司的公开言论，如需体现在公司的职务信息，应提前获得直属Leader和公共关系部（可联系<@=username(prxiaomishu)=>）的许可。"
万相数据平台的网址、帮助文档,万相,我想在万象下载花名册，操作不了|万象登录异常|万相切片数据|万相数据平台是什么|万相数据平台网址|万相数据平台使用手册,"<font color=""orange"">**亲爱的同学好~**</font>
万相数据平台的地址请 [点击这里](https://wanxiang.corp.kuaishou.com/)；
万相数据平台的帮助文档可以参考 [万相数据平台用户手册](https://docs.corp.kuaishou.com/d/home/fcAAMhBpGGi5i8eEVE-4Vbx_1)；
其他问题可以扫码进群咨询：
![2.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/322e706e671695283518235.png)"
虚假交易、刷单类问题,"虚假交易,刷单",无法领券/用券、无法下单、无法支付等问题,"<font color=""orange"">**亲爱的同学好~**</font>
虚假交易、刷单类问题，无法领券/用券、无法下单、无法支付等问题，可以在 Kim应用搜索 - 电商风控小助手咨询。"
星环平台HALO平台的网址、接入流程、帮助文档,,星环平台是什么|星环HALO平台网址|星环流程中心接入流程|星环平台使用手册,"<font color=""orange"">**亲爱的同学好~**</font>
星环平台作为基础平台统一门户与品牌，提供前端接入框架、服务树、权限中心、流程中心、消息中心、NPS 调研等基础服务，减少研发工具链、计算、存储、网络、监控等平台建设成本，提供一站式产品体验，为公司业务赋能。
星环HALO平台的地址请[点击这里](https://halo.corp.kuaishou.com/)；
星环HALO平台的接入流程申请可以参考[星环流程中心接入规范](https://docs.corp.kuaishou.com/d/home/fcAASgiURpnCGwboLA7DP8HcI#section=h.wzoc2letnu3g)；
其他问题可以扫码进群咨询：![1.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/312e706e671695372285586.png)
星环HALO平台的帮助文档可以参考[星环平台介绍](https://docs.corp.kuaishou.com/k/home/VDhTBp98ODmY/fcAAy-vhACETnaBjGTOTPff4Q#section=h.xhynf7ro4grd)。"
商家怎么获取自己店铺的链接,店铺链接,快手小店主页链接如何获得？|商家怎么获取自己店铺的http链接？,"<font color=""orange"">**亲爱的同学好~**</font>
商家可以通过「pc端商家后台」-「店铺管理」-「店铺信息设置」-「小店链接」获取店铺链接。"
天工IDP问题对接群,"idp,idp权限,天工权限,天工",数据集，编辑和配置有啥区别|实习生是否可以开通hive表取数权限|天工|批量交接hive表|公司的clickhouse平台|我在离职交接中，我想看看还有哪些权限待交接，目前只能从每天早上天工消息号中查看|hadoop|天工上怎么通过topic找到相应使用的服务|天工权限|idp权限|申请idp权限,"<font color=""orange"">**亲爱的同学好~**</font>
关于天工系统、申请 IDP 权限等相关问题，请您扫描下方群二维码，进入天工用户反馈群中咨询：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671718613802938.png)"
知识库怎么设置直接可以编辑,知识库编辑,有编辑权限但是无法编辑|你好，我的文档怎么才能设置成默认编辑的|每次打开doc就直接是编辑状态 不用再手动改 能实现吗。|知识库编辑模式怎么改,"<font color=""orange"">**亲爱的同学好~**</font>
知识库有两种编辑模式：
手动编辑模式：需要点击右上角按钮才能开始编辑；
自动编辑模式：打开知识库自动可以开始编辑。
**如何更改编辑模式：**
**1、点击进入 [Docs 主页](https://docs.corp.kuaishou.com/home)，点击右上角头像，选择“偏好设置”：**
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671715581372525.png)
\
**2、点击“通知”，选择编辑模式：**
![5.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/352e706e671691398449805.png)"
Kim视频会议如何自动生成会议纪要,会议纪要,把录音转为文字|如何把音频转为文字|你好，问下怎么能自动生成会议纪要啊～|你好，问下怎么能自动生成会议纪要啊|Kim视频会议录制转文字,"<font color=""orange"">**亲爱的同学好~**</font>
在 Kim 视频会议的下方录制按钮目前新增了三种选项：
仅录制视频会议、仅生成文字记录、录制视频会议并生成文字记录；
同学可以按照个人的需求选择对应的录制选项：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671720603729468.png)
录制了之后的文件可以在 Kim 左侧边栏下方 会议 - 录制文件 中找到：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671720604055803.png)
如果您的 Kim 没有这个功能，可以扫码进内测群：
![image.png](https://cdnfile.corp.kuaishou.com/kc/files/a/aiCustomerService/696d6167652e706e671722505960372.png)"
为什么快手中学里已经完成了课程，却没有权限考试,"完成课程无法考试,没有权限考试",已经完成了课程，但没有权限考试是什么原因呢,"<font color=""orange"">**亲爱的同学好~**</font>
考试权限是管理员后台设置的，可联系管理员在“其他标签”里进行调整。"
离职同学邮箱账号怎么恢复,"恢复账号,恢复邮箱",恢复离职同学邮箱账号流程,"<font color=""orange"">**亲爱的同学好~**</font>
* 申请方发送邮件说明恢复邮箱、恢复期限、工作用途，由申请方及离职方直属leader确认，并抄送双方二级leader、aq-xms@kuaishou.com、mailman@kuaishou.com，
* leader审批通过后，可联系IT侧- <@=username(zhiyue)=>处理，将在所需时间结束后关闭账号。"
